 No.	|Scientific Name/Species	|Common Name	|Category/Area
338	Solanum elaeagnifolium	Silver-leaf bitter apple	1b
339	Solanum mauritianum	Bugweed	1b
340	Solanum pseudocapsicum	Jerusalem cherry	1b
341	Solanum seaforthianum	Potato creeper	1b
342	Solanum sisymbriifolium	Wild tomato, Dense-thorned bitter apple	1b
343	Sorghum halepense	Johnson grass, Aleppo grass	2
344	Spartina alterniflora	Smooth cordgrass, Salt-water cordgrass	1a
345	Spartium junceum	Spanish broom	See below
a. 1b in Eastern Cape and Western Cape.
b. 3 in Free State, Gauteng, KwaZulu-Natal, Limpopo, Mpumalanga, North-West and Northern Cape.
346	Spathodea campanulata	African flame tree	See below
a. 3 in Eastern Cape, KwaZulu-Natal, Limpopo and Mpumalanga.
b. Not listed elsewhere.
347	Sphagneticola trilobata	Singapore daisy	See below
a. 1b in Eastern Cape, KwaZulu-Natal, Limpopo and Mpumalanga.
b. 3 in Free State, Gauteng, North-West, Northern Cape and Western Cape.
348	Stachytarpheta cayennensis	Blue snakeweed, Cayenne snakeweed	3
349	Stachytarpheta mutabilis	Pink snakeweed	3

350	Stellaria media	Common chickweed	See below
a. 1a Prince Edward Island.
b. 1b Marion Island.
c. Not listed on mainland or other off-shore islands.
351	Syngonium podophyllum	Goose foot, Arrowhead vine	See below
a. 1b in Eastern Cape, KwaZulu-Natal, Limpopo and Mpumalanga.
b. 2 for breeding in nurseries in Eastern Cape, KwaZulu-Natal, Limpopo and Mpumalanga, but may not be transferred within these Provincial boundaries.
c. Not listed elsewhere.
352	Syzygium cumini	Jambolan	See below
a. 1b
b. The fruit of the jambolan is not listed if used for human consumption.
353	Syzygium jambos	Rose apple	3
354	Tamarix aphylla	Athel tree, Desert tamarisk	1b
355	Tamarix chinensis	Chinese tamarisk	1b
Not to be confused with indigenous Tamarix usneoides.
356	Tamarix gallica	French tamarisk	1b
Not to be confused with indigenous Tamarix usneoides.
357	Tamarix ramosissima	Pink tamarisk	1b
Not to be confused with indigenous Tamarix usneoides.
358	Tecoma stans	Yellow bells	1b
359	Tephrocactus articulatus	Pine cone cactus, Paper-spine cholla	1a
360	Thevetia peruviana	Yellow oleander	1b
361	Tipuana tipu	Tipu tree	3
362	Tithonia diversifolia	Mexican sunflower	1b
363	Tithonia rotundifolia	Red sunflower	1b
364	Toona ciliata	Toon tree	3
365	Toxicodendron succedaneum	Wax tree	1b
366	Tradescantia fluminensis	Wandering Jew	1b
367	Tradescantia zebrina	Wandering Jew	1b
368	Triplaris americana	Ant tree, Triplaris	1a
369	Tropaeolum speciosum	Chilean flame creeper, Flame nasturtium	3
370	Ulex europaeus	European gorse	1a
371	Verbena bonariensis	Wild verbena, Tall verbena, Purple top	1b
372	Verbena brasiliensis	Brazilian verbena	1b
373	Verbena rigida	Veined verbena	1b
374	Vinca major	Greater periwinkle	See below
375	Vinca minor	Lesser periwinkle	See below
a. 1b
b. Sterile cultivars or hybrids are not listed.
376	Vitex trifolia	Indian three-leaf vitex	1b
377	Wigandia urens var. caracasana	Wigandia	3
378	Xanthium spinosum	Spiny cocklebur	1b
379	Xanthium strumarium	Large cocklebur	1b


